,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,payment_method,rating,dtme,time_of_day,day_name,customer_id
0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,Ewallet,9.1,2019-01-05,afternoon,Saturday,3
1,226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,Cash,9.6,2019-03-08,morning,Friday,31
2,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,Credit card,7.4,2019-03-03,afternoon,Sunday,11
3,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,Ewallet,8.4,2019-01-27,evening,Sunday,6
4,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,Ewallet,5.3,2019-02-08,morning,Friday,12
5,699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,Ewallet,4.1,2019-03-25,evening,Monday,36
6,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,Ewallet,5.8,2019-02-25,afternoon,Monday,3
7,315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,Ewallet,8.0,2019-02-24,morning,Sunday,33
8,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,Credit card,7.2,2019-01-10,evening,Thursday,2
9,692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,Credit card,5.9,2019-02-20,afternoon,Wednesday,14
10,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,Ewallet,4.5,2019-02-06,evening,Wednesday,15
11,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,Cash,6.8,2019-03-09,evening,Saturday,16
12,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,Ewallet,7.1,2019-02-12,morning,Tuesday,9
13,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,Ewallet,8.2,2019-02-07,evening,Thursday,12
14,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,Cash,5.7,2019-03-29,evening,Friday,7
15,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,Cash,4.5,2019-01-15,evening,Tuesday,13
16,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,Credit card,4.6,2019-03-11,morning,Monday,2
17,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,Credit card,6.9,2019-01-01,morning,Tuesday,11
18,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,Credit card,8.6,2019-01-21,evening,Monday,11
19,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,Ewallet,4.4,2019-03-11,afternoon,Monday,21
20,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,Ewallet,4.8,2019-02-25,morning,Monday,30
21,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,Ewallet,5.1,2019-03-05,morning,Tuesday,24
22,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,Credit card,4.4,2019-03-15,afternoon,Friday,23
23,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,Ewallet,9.9,2019-02-17,morning,Sunday,12
24,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,Ewallet,6.0,2019-03-02,evening,Saturday,6
25,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,Credit card,8.5,2019-03-22,evening,Friday,2
26,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,Cash,6.7,2019-02-08,afternoon,Friday,22
27,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,Credit card,7.7,2019-03-10,afternoon,Sunday,8
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,Cash,9.6,2019-01-25,evening,Friday,19
29,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,Cash,7.4,2019-03-15,afternoon,Friday,10
30,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,Credit card,4.8,2019-02-25,evening,Monday,23
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,Cash,4.5,2019-01-28,afternoon,Monday,16
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,Cash,5.1,2019-01-10,afternoon,Thursday,22
33,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,Credit card,5.1,2019-03-15,morning,Friday,11
34,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,Ewallet,7.5,2019-02-06,morning,Wednesday,27
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,Ewallet,6.8,2019-01-07,afternoon,Monday,27
36,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,Ewallet,7.0,2019-03-10,evening,Sunday,6
37,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,Ewallet,4.7,2019-01-15,evening,Tuesday,9
38,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,Ewallet,7.6,2019-03-23,afternoon,Saturday,33
39,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,Cash,7.7,2019-03-03,afternoon,Sunday,16
40,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,Ewallet,7.9,2019-01-17,evening,Thursday,15
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,Cash,6.3,2019-02-02,morning,Saturday,28
42,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,Cash,5.6,2019-02-08,afternoon,Friday,13
